BW1,BW2,BW3,DL1,DL2,DL3,PL1,PL2,PL3,MPSNR
0.6133,0.8846,0.3707,232,167,56,1.5,2.6,2.9,62.3512
0.3639,0.9794,0.7446,227,169,15,1.6,0.5,1.5,73.0308
0.2395,0.6178,0.875,349,186,269,0.1,1.6,3.1,26.8928
0.2198,0.2589,1.0966,80,139,144,3.2,3.3,1,35.2614
0.3401,0.511,1.1193,287,153,78,2.4,0.9,2.6,66.9684
0.3577,0.3661,0.7134,252,52,229,0.5,0.7,2.3,68.6397
0.9442,0.36,0.9974,357,84,52,0.4,3.5,2.8,65.8564
0.2672,0.6661,0.7985,149,221,397,1.6,1,2.4,55.3738
0.315,1.0744,0.6349,65,19,8,4,3.1,0.7,66.2394
1.0217,0.3097,0.5008,188,100,214,0.1,2.9,3,72.3176
0.957,0.4852,0.3279,219,202,165,2.1,3.4,2.3,56.2428
1.0033,0.7099,1.1114,372,246,180,0.7,2.1,2.8,60.8179
0.3117,0.9867,1.1761,35,187,231,2.5,3.2,3.1,38.2891
0.4819,1.1943,0.6183,374,127,2,3.5,3,1.8,59.0983
0.8096,0.6635,0.7252,64,242,186,1.6,3.7,2.7,45.4119
1.0933,0.915,0.8603,226,176,337,1.5,3.7,2.5,71.7257
0.2634,1.1609,0.3834,182,339,254,1.9,1.3,2.6,37.0059
1.0302,0.6171,1.1058,306,345,57,3.9,2.6,3.9,46.3908
0.87,0.9573,1.1737,344,78,214,0.5,3.7,2,50.4274
0.9112,0.5512,0.7187,27,271,173,3.6,0.6,0.4,68.9845
0.4772,0.3606,0.7132,338,92,67,3.8,2.2,2.8,45.5179
1.0764,0.9724,1.175,117,302,58,1.3,4,1.4,68.1813
1.0585,0.8185,1.0343,322,314,154,3,1.3,3.6,62.5373
1.0014,0.8194,1.1886,255,256,22,3.8,0.7,2.6,73.7105
0.2182,0.744,0.8126,329,222,127,1.8,1.1,0,43.3711
0.335,0.6431,1.106,1,74,364,2.4,2.9,2.4,46.6688
0.9635,0.7056,1.0236,233,168,171,2.9,2.1,0.2,69.6016
0.4844,1.1819,0.6669,174,373,335,1.1,4,3.7,44.7164
0.8738,0.9003,0.3443,252,247,363,3.7,3.7,1,49.6537
0.746,0.5477,0.887,277,207,196,1.4,1.3,0.5,66.7699
1.1896,0.9489,0.2894,102,163,82,2,1.8,2.3,54.0616
0.9946,0.5404,1.0741,195,185,4,2.3,2.1,4,54.3497
0.7507,1.0511,1.0493,201,9,304,0.8,0.1,3,75.3349
0.7118,1.169,1.0292,13,299,208,1.7,2.1,0.2,75.849
0.8331,0.7176,0.896,341,271,398,0.1,2.5,3.4,56.6255
0.992,0.5904,1.0221,221,101,172,3,1,2.7,60.7315
0.4172,0.7836,0.3506,104,175,302,1.3,3.6,2.4,56.7573
0.5881,0.9574,0.6804,181,318,354,1.1,4,0.4,62.4617
0.6967,1.1587,0.5114,79,62,267,2.5,1.7,0.2,76.4694
1.046,0.2666,0.5508,207,352,354,3.5,3.4,2.8,44.1981
0.6133,1.0163,1.1891,179,163,386,1.8,0.5,2.4,55.297
1.0167,1.1174,0.3407,265,24,126,2.1,3.7,2.7,64.0781
0.2324,0.3777,0.9325,121,26,395,0.6,1.2,2.7,43.8714
1.1732,0.8826,1.0002,122,277,367,0.4,1.1,0.5,82.864
0.9398,0.6906,1.0085,15,30,255,0.5,1.1,3.3,59.8293
0.8272,0.6029,0.5411,167,117,349,4,3.3,3,38.1196
0.9842,0.6968,0.2953,342,182,94,1.8,0.6,1,62.0493
1.0322,0.2664,0.8112,252,43,183,3.2,3.1,4,48.4424
0.3071,1.1612,1.0978,140,179,121,4,2.9,3.8,47.48
0.5712,1.1126,0.3923,261,286,230,0.7,0.3,2.5,66.082
0.8516,0.6748,0.6613,236,210,35,0.4,2.6,0.1,75.7046
0.8069,0.9763,0.3392,295,374,326,1.5,0.3,3.3,67.6597
0.295,0.9247,0.2932,271,205,167,2.2,0.9,0.8,69.7086
0.7935,0.5957,0.7016,233,302,43,3.4,1.8,1.3,57.4306
0.7177,0.8671,1.0301,141,27,369,2.6,1.3,3.8,71.5012
0.4442,0.3578,0.3425,50,226,314,0.7,3.4,3,64.0744
0.7039,0.4409,0.2711,307,213,122,2.6,3,2.8,54.0959
0.8305,0.7456,1.1377,128,222,197,3.7,0.3,0,74.6003
0.2656,1.0995,0.9588,347,154,145,1.7,3.3,1.8,47.1207
0.2119,0.7879,0.9165,328,255,212,2.2,2.1,1.8,33.57
0.4359,1.0922,0.7531,57,342,0,3.8,3.5,0.6,42.4358
1.0287,0.7767,0.5261,365,345,277,1.8,0.4,2.1,68.3686
0.7458,0.6298,0.6514,244,276,388,0.5,1.8,0.5,81.9101
1.1888,0.5505,0.3811,300,298,276,1.4,2.8,2.1,62.1967
0.5354,0.54,1.063,45,132,86,0.5,3.1,0,65.9612
0.5471,0.6852,0.8879,397,351,262,1.7,0.2,2,77.5943
0.9589,0.3422,0.5864,107,166,144,1.4,3.2,2.3,59.0621
0.3682,0.226,0.658,353,386,57,0.9,3.2,0.8,40.2053
1.1569,0.4313,0.6316,211,251,192,2.7,2.5,1.2,60.014
0.7332,0.9001,0.8934,348,177,233,0,3.5,1.2,81.5532
0.568,0.4891,0.5346,323,86,79,4,1.2,3.3,62.4596
1.1883,0.4276,0.2859,61,79,212,1.2,3,3.7,57.9486
0.2552,0.9116,0.7528,12,140,199,2.3,0.6,1,51.5595
0.988,0.615,1.1622,318,190,344,0.3,0.1,1.6,74.0517
0.7501,0.519,0.7217,106,321,316,0.8,2.4,0,51.5425
0.7646,0.5073,0.6427,341,41,154,0.2,0.7,3.9,74.8208
1.1912,0.8522,1.1815,268,384,49,1.9,3.4,3.3,55.725
1.1434,0.5339,0.5691,155,357,333,1.8,0.4,0,85.1175
1.015,0.9616,0.8332,124,288,357,0.6,2.6,0,72.2245
0.5416,0.2863,0.4197,332,287,340,1.7,3.5,3.5,37.5702
0.426,0.2669,0.7045,285,357,291,2.1,2.8,0.6,55.6556
1.067,0.8491,1.1488,261,95,83,4,3,3.8,48.9626
0.4379,0.3421,0.396,4,182,325,2,0.5,3.2,64.1118
0.4589,0.4397,0.6578,243,22,80,0.1,1,2.2,78.4629
1.0834,0.5503,1.0346,3,334,169,3.7,2.7,0.5,63.2449
0.2879,0.586,1.12,316,233,259,0.51,0.96,0.72,70.4840532
0.4438,0.6502,1.0011,294,399,334,0.95,0.01,0.15,78.3978833
0.5844,0.8365,0.6538,224,279,130,0.05,0.95,1.48,74.07658753
0.6584,0.2548,1.0083,249,214,71,0.55,0.32,0.57,59.75665046
0.5851,1.0504,0.756,148,312,390,0.35,0.82,1.45,79.7840389
0.6971,0.2761,1.0676,264,166,12,0.91,0.24,1.07,57.34968535
1.1343,0.3161,0.8938,70,234,147,1,0.83,0.51,75.23433924
0.6668,0.8581,1.0964,295,219,289,0.87,0.49,1.4,80.63293764
1.1463,0.9925,0.3647,190,85,359,0.31,0.77,0.87,74.56364416
0.3101,1.1553,1.1518,299,213,152,0.86,0.97,0.03,79.25471968
0.8714,1.0963,0.416,168,283,320,0.68,0.56,0.14,82.53732838
0.5048,0.5957,0.6291,207,246,332,0.93,0.85,0.61,79.3937357
0.6565,0.6345,0.7644,314,257,130,0.95,0.38,1.43,82.63086384
0.8362,0.804,0.4985,23,307,295,0.29,0.52,0.44,87.28739989
0.3315,0.4575,0.7068,52,10,340,0,0.52,0.75,84.68521167
1.0259,1.1882,0.2981,123,287,186,0.66,0.72,1.3,67.75614989
0.7272,0.5811,0.38,218,209,69,0.52,0.95,0.15,71.01036899
1.1536,0.5918,0.6999,335,256,200,0.74,0.26,1.36,74.21102689
0.6808,0.5376,0.7024,163,366,145,0.02,0.98,0.24,83.51887872
0.8901,0.5999,1.1541,340,303,363,0.18,0.35,0.84,84.90946796
0.6225,0.6494,1.0489,65,219,93,0.19,0.4,0.53,88.99070366
0.7026,1.1586,1.1824,163,341,292,0.12,0.13,0.83,87.1805635
0.3632,1.1942,0.3492,325,279,38,0.8,0.5,1.42,71.89101831
0.916,0.4159,0.9702,398,121,399,0.01,0.01,0.77,84.2923341
0.3617,0.9749,0.3411,264,97,187,0.03,0.09,0.89,81.53325229
0.726,0.6762,0.8636,249,0,140,0.73,0.21,1.43,84.52209668
0.4309,0.9667,0.647,90,173,376,0.97,0.79,0.5,80.19071796
0.9103,0.5425,0.444,361,28,353,0.7,0.62,1.25,74.64266304
0.3393,0.5719,0.4012,125,7,256,0.31,0.01,1.17,77.62764588
0.9824,0.6655,0.3961,308,242,193,0.67,0.73,0.2,79.48576945
0.4518,1.1705,1.0895,307,101,173,0.67,0.61,0.13,85.69808352
0.773,0.8047,0.6276,135,129,157,0.33,0.86,0.41,79.49556636
1.0012,0.9894,1.1184,51,127,297,0.14,0.61,0.66,82.60497712
1.0376,0.792,0.7034,317,267,242,0.07,0.82,0.87,76.95451945
1.08,0.8611,0.5626,258,270,51,0.44,0.44,0.34,73.2395595
0.7997,0.447,1.0033,97,161,337,0.62,0.22,1.04,84.20380435
0.3075,0.7356,1.1556,132,47,325,0.47,0.95,0.19,66.86098398
0.4336,0.3772,0.3729,219,274,1,0.36,0.7,0.46,76.25514874
0.6679,0.5841,0.5118,373,198,102,0.53,0.17,1.25,75.32758867
0.5749,0.3054,0.9687,276,357,147,0.24,0.95,0.32,62.76229977
0.6503,0.4094,0.3581,227,71,150,0.87,0.91,0.02,68.59618135
0.868,0.4956,0.7257,298,50,122,0.6,0.3,0.23,85.19965675
0.5567,0.4049,0.3613,215,247,324,0.83,0.09,0.2,72.16955092
1.146,1.0048,0.4206,341,180,389,0.12,0.17,0.03,85.30298913
0.8578,0.7116,0.332,293,395,35,0.66,0.37,0.46,69.39831236
0.3096,0.3594,0.7471,342,289,241,0.62,0.06,0.49,76.85368993
0.2756,1.1763,0.5411,373,306,50,0.35,0.4,0.4,66.7367
0.8828,0.3488,0.9062,161,386,69,0.18,0.2,0.43,78.04969966
1.1988,1.178,1.0577,144,265,29,0.9,0.35,0.18,89.15882437
0.4988,1.0763,0.4978,58,326,112,0.35,0.38,0.4,78.15539188
0.9409,0.5169,0.4387,258,123,27,0.35,0.06,0.28,85.18721396
0.8864,1.1927,1.1587,89,383,123,0.91,0.38,0.23,83.96138444
0.8019,1.0432,0.6948,282,169,114,0.02,0.42,0.28,90.9257
0.7277,0.7482,0.8411,244,187,159,0.08,0.44,0.2,91.06536
0.8208,0.2505,0.3377,349,290,211,0.82,0.17,0.31,46.86355835
1.1325,0.4083,0.3524,97,177,20,0.7,0.37,0.25,78.52
0.2586,1.1767,0.9909,72,162,260,0.8,0.28,0.41,65.37285469
0.9186,0.5059,1.184,352,30,5,0.06,0.46,0.38,90.14681064
1.0183,0.4804,0.7755,168,400,250,0.23,0.21,0.14,81.45616419
1.1562,0.9165,0.4277,22,142,70,0.84,0.23,0.35,74.49120423
0.988,0.338,0.4649,216,262,261,0.15,0.25,0.03,77.03496854
1.0113,0.4715,0.9446,50,220,329,0.61,0.27,0.06,85.02602975
1.0903,0.8197,0.841,123,178,343,0.34,0.02,0.41,91.6805635
0.9139,0.333,0.8724,5,146,116,0.08,0.29,0.42,76.78275172
0.7629,1.0707,1.0778,221,100,263,0.01,0.17,0.3,92.22690217
1.0123,0.823,0.8666,287,3,99,0.55,0.37,0.13,91.49399314
0.8816,0.9663,1.1872,298,167,233,0.23,0.22,0.43,90.1521024
0.8193,0.3536,0.7475,259,193,150,0.21,0.08,0.36,76.43149314
0.3291,0.9018,1.0428,253,271,357,0.4,0.16,0.31,83.47282609
1.1801,0.7483,1.1487,151,240,65,0.05,0.16,0.39,91.55878146
0.6241,0.5747,0.6997,140,72,359,0.92,0.6,0.61,83.96953661
0.3026,0.4072,0.7968,326,389,246,0.53,0.77,0.62,73.60197368
0.838,0.3526,0.6348,346,0,2,0.91,0.73,0.39,74.94665332
0.3272,0.8815,0.2762,280,343,158,0.06,0.85,0.01,70.4076087
0.9793,0.5734,0.7442,222,321,297,0.05,0.83,0.13,82.99871281
0.3876,0.3933,0.7919,343,154,173,0.82,0.64,0.38,72.55234554
0.4035,0.9404,0.269,183,23,334,0.92,0.32,0.37,70.47547197
0.4472,0.3673,0.3805,6,319,389,0.18,0.61,0.47,77.50014302
0.8414,0.9679,1.0405,87,300,110,0.86,0.03,0.59,91.78532609
0.6677,1.0743,0.2886,4,169,60,0.2,0.19,0.98,78.45580664
1.1856,0.8384,0.3166,0,215,391,0.13,0.38,0.7,76.43714245
0.5074,0.7748,0.6981,129,325,254,0.05,0.44,1,75.67005149
0.4987,0.8592,0.6204,88,298,312,0.27,0.11,0.75,79.06507437
0.994,0.7571,0.9691,233,123,31,0.91,0.88,0.69,82.58359554
1.0606,0.3517,0.3673,186,23,369,0.03,0.39,0.34,79.56500286
1.1387,0.6959,0.6544,77,125,100,0.03,0.4,0.39,86.44086098
0.8915,0.9116,1.1538,4,245,171,0.51,0.26,0.8,91.62607265
0.5408,0.4531,0.8657,75,101,189,0.56,0.84,0.9,76.68564073
1.049,0.9673,1.0337,262,394,282,0.23,0.62,0.19,81.43800057
0.3717,1.0566,0.4907,77,168,48,0.08,0.29,0.88,86.80449085
0.4509,0.7953,1.0788,121,230,194,0.64,0.17,0.99,68.61641876
1.0912,0.8703,0.7794,118,93,373,0.8,0.42,0.61,76.37371281
0.4675,0.7023,0.9466,339,159,121,0.55,0.15,0.08,83.09875572
1.1651,0.8858,1.1532,59,51,168,0.08,0.37,0.71,87.67241133
0.7536,0.4064,0.656,80,375,29,0.56,0.16,0.59,74.22375572
1.0717,1.1892,0.8101,368,36,275,0.29,0.73,0.51,88.53854405
0.9677,0.7224,1.0674,400,302,391,0.58,0.73,0.37,79.20308924
0.7015,0.713,0.8213,173,351,397,0.37,0.49,0.27,89.30513444
0.8745,0.8226,1.1104,264,265,90,0.64,0.32,0.64,72.25979691
1.1532,0.6109,0.5406,255,196,371,0.04,0.69,0.96,87.05248856
0.3005,0.5731,0.4584,279,189,76,1.03,0.92,0.74,67.14866991
0.7412,0.6196,0.2336,290,373,281,1.9,0.68,0.56,46.70945366
0.3286,0.7614,0.2855,286,217,149,1.86,0.58,0.71,61.64902746
0.4136,0.7341,0.2366,128,185,229,1.97,0.8,0.99,41.1819222
0.2101,0.7402,0.5801,218,162,38,1.7,0.55,0.72,35.90467677
0.2845,0.4692,0.5551,373,207,101,1.79,0.92,0.97,68.44393593
0.6965,0.7118,0.4074,69,208,345,1.02,0.63,0.96,79.503504
0.6175,0.7036,0.3047,102,171,59,1.96,0.7,0.85,74.68521167
0.4154,0.3061,0.5192,115,200,377,1.32,0.54,0.72,61.53561213
0.2313,0.3698,0.5547,262,131,354,1.5,0.75,0.89,48.29930635
0.224,0.743,0.3851,193,37,294,1.68,0.75,0.72,51.89752574
0.5453,0.673,0.5502,304,286,16,1.99,0.58,0.98,67.88951659
0.2098,0.7978,0.3217,278,111,111,1.1,0.98,0.92,40.97071653
0.2758,0.2143,0.3999,193,322,148,1.81,0.76,0.64,41.68867992
0.6562,0.5555,0.4754,8,3,343,1.75,0.76,0.7,70.64573799
0.4747,0.5259,0.5689,310,162,86,1.53,0.51,0.57,84.39874142
0.5931,0.4077,0.2548,325,149,132,1.97,0.96,0.6,51.09174771
0.6147,0.6068,0.4402,16,58,300,1.74,0.57,0.83,64.02345538
0.3125,0.6477,0.2433,330,228,44,1.69,0.71,0.9,49.16547483
0.718,0.6179,0.2357,27,76,335,1.12,0.95,0.51,51.65989703
0.4309,0.3378,0.5547,374,281,29,1.84,0.9,0.83,64.45294622
0.3807,0.724,0.2153,139,257,68,1.85,0.9,0.82,42.35047197
0.3117,0.6623,0.4375,131,18,111,1.91,0.51,0.87,60.84775458
0.5165,0.4082,0.55,41,400,236,2,0.64,0.64,67.34546625
0.2241,0.2178,0.3905,184,188,394,1.27,0.61,0.69,40.72997712
0.6425,0.6479,0.4815,211,218,76,1.26,0.88,0.65,85.16168478
0.5894,0.4072,0.3281,35,24,266,1.76,0.82,0.62,66.51158467
0.4264,0.4896,0.528,256,190,289,1.53,0.56,0.85,62.10104405
0.4772,0.477,0.4055,392,262,288,1.76,0.8,0.56,67.72454233
0.3472,0.2061,0.2642,283,285,395,1.77,0.54,0.94,39.29344251
0.7369,0.6122,0.2916,237,292,199,1.06,0.51,0.63,66.6472397
0.3476,0.7332,0.2901,286,226,179,1.25,0.5,0.62,58.70666476
0.4429,0.6764,0.3334,282,138,270,1.83,0.94,0.95,62.00529176
0.5031,0.4992,0.2188,227,97,145,1.16,0.96,0.92,44.41940789
0.4791,0.5038,0.371,388,225,285,1.45,0.63,0.92,66.82029462
0.6219,0.5276,0.2307,185,191,94,1.57,1,0.9,44.78529033
0.6434,0.6714,0.3898,57,305,132,1.55,0.57,0.96,68.4347111
0.2316,0.6144,0.5513,399,274,287,1.71,0.68,0.88,46.98862986
0.7538,0.215,0.2813,162,14,216,1.01,0.73,0.68,49.57490704
0.494,0.5503,0.4645,33,232,123,1.24,0.56,0.57,77.89080378
0.4591,0.2006,0.3012,212,168,191,1.34,0.83,0.95,39.37564359
0.2558,0.2519,0.472,163,248,300,1.42,0.81,0.84,56.30084382
0.584,0.6499,0.2447,113,269,73,1.14,0.81,0.57,54.95863129
0.7717,0.3808,0.2144,79,252,247,1.97,0.65,0.75,41.3798627
0.3659,0.6684,0.3749,360,285,360,1.43,0.52,0.66,65.3291619
0.495,0.4719,0.4371,162,56,289,1.21,0.61,0.54,88.88744279
0.6793,0.4767,0.5852,244,235,329,1.89,0.9,0.55,81.02924771
0.3451,0.2816,0.3897,232,396,338,2.72,2.14,2.42,42.99406465
0.2151,0.3451,0.4168,331,68,256,1.59,2.14,1.03,38.90689359
0.5891,0.3777,0.2478,242,320,58,2.88,1.43,2.77,47.36291476
0.2975,0.3084,0.2556,138,189,109,2.16,1.99,1.37,47.01079805
0.4447,0.5763,0.2507,282,331,242,1.28,2.15,1.99,39.87228261
0.5722,0.5703,0.4908,169,68,222,2.31,2.83,1.32,65.40424771
0.5948,0.4237,0.3779,61,362,262,2.68,2.78,1.31,53.90660755
0.5984,0.505,0.2946,144,340,162,1.7,1.15,2.17,57.47146739
0.4559,0.3359,0.2607,224,342,399,2.06,1.41,2.49,52.13901602
0.4508,0.4106,0.2088,129,130,166,2.31,2.03,2.13,30.35933924
0.2904,0.2303,0.3056,307,111,310,2.1,1.22,1.9,39.17452088
0.3161,0.4759,0.468,305,195,336,2.8,1.12,1.91,59.06149886
0.2263,0.3363,0.2582,22,80,79,2.62,1.22,2.24,39.24191934
0.5171,0.5645,0.5695,283,235,222,1.62,2.79,2.77,59.50593535
0.4114,0.4879,0.4306,36,104,51,1.48,2.12,1.85,69.74692506
0.2718,0.424,0.3135,289,86,195,1.98,2.52,1.81,55.2364488
0.2619,0.4561,0.5828,249,50,318,1.58,2.09,2.48,49.6437357
0.4918,0.3358,0.287,71,119,337,2.84,1.4,1.8,53.69021739
0.4576,0.3306,0.3281,202,313,51,2.95,2.17,1.14,51.58080664
0.4944,0.5205,0.3307,280,310,107,2.46,1.53,1.65,60.2715246
0.4582,0.2973,0.3939,26,76,54,1.59,1.96,2.55,58.58524027
0.2998,0.4574,0.3196,255,284,74,1.03,2.16,2.9,51.02266876
0.2159,0.4436,0.4271,353,333,290,2.62,2.94,2.69,33.43835812
0.4457,0.3677,0.4654,78,113,28,1.97,2.09,1.08,65.29347826
0.2713,0.3726,0.3184,299,169,320,1.81,2.24,1.04,45.96832094
0.3471,0.4741,0.5849,32,329,343,1.01,2.46,1.88,61.37235412
0.387,0.4518,0.2728,33,34,340,2.29,2.82,1.57,49.3270881
0.4578,0.2903,0.4945,303,207,339,1.95,2.2,2.31,54.68077803
0.4181,0.3861,0.5298,305,260,78,1.07,2.13,1.52,61.6895738
0.4346,0.5168,0.4537,226,298,359,1.06,1.44,1.16,73.54977117
0.5646,0.5418,0.5669,252,325,173,2.45,2.45,2.78,64.39480835
0.294,0.2477,0.3047,243,297,318,1.92,2.34,2.32,42.39545195
0.3277,0.4854,0.4949,261,265,380,2.17,1.13,1.44,71.18857265
0.2625,0.3663,0.2856,86,329,194,2.56,2.79,2.52,44.46345824
0.2407,0.2532,0.3858,221,34,85,2.11,2.21,2.45,37.23998856
0.3544,0.3177,0.2993,204,188,372,2.67,2.62,2.01,48.06221396
0.3479,0.3003,0.2382,304,114,21,2.51,2.79,2.55,34.12793192
0.2892,0.2988,0.3136,173,345,2,3.26,2.26,3.66,33.60976831
0.236,0.3331,0.2021,180,149,288,3.25,2.33,3.66,32.90331808
0.2081,0.3411,0.3528,143,228,168,3.29,2.25,3.56,30.41096968
0.297,0.2287,0.2151,334,354,241,3.14,2.65,3.67,36.01315789
0.2902,0.2213,0.2289,182,390,362,3.1,2.68,3.06,37.77234697
0.2741,0.3398,0.3742,328,46,197,3.49,2.07,3.04,39.78654176
0.2783,0.2468,0.2044,299,275,149,3.32,2.7,3.14,21.16375858
0.2731,0.2678,0.369,389,11,291,3.47,2.97,3.62,42.232623
0.2753,0.2919,0.364,261,131,10,3.96,2.73,3.03,41.32394165
0.2041,0.2817,0.3724,155,129,74,3.42,2.82,3.07,29.53125
0.2525,0.3085,0.2394,154,37,339,3.04,2.75,3.71,44.12485698
0.2301,0.3306,0.2253,176,108,92,3.15,2.34,3.88,41.98666333
0.268,0.2701,0.2118,103,182,380,3.63,2.82,3.65,31.13172197
0.2975,0.2455,0.2068,213,141,72,3.34,2.24,3.66,31.54626716
0.2523,0.3312,0.2945,266,296,178,3.27,2.26,3.83,40.78954519
0.2694,0.354,0.3258,108,366,362,3.53,2.59,3.78,41.548627
0.2716,0.3256,0.2776,157,107,110,3.04,2.82,3.35,49.20201659
0.2037,0.3038,0.2306,397,374,254,3.84,2.73,3.65,27.36055492
